product-url,img_url,name,price,short_description,long_description,sku,breadcrumb,voltage,Power,Temperature_Range,Time_Control,Machine_Size,Weight,Select_measure,Categories,stock
https://sublimagix.cl/producto/papel-sublimacion-premium-a4-100-hojas/,https://sublimagix.cl/wp-content/uploads/2022/11/Papel_Subli_Premium.jpg,Papel Sublimación Premium A4 100 hojas,$5.000,"Uno de los mejores papeles del mundo, con tecnología Alemana llega el nuevo Papel Ultra, excelente definición y descarga extra de Color, podrá imprimir imágenes ultra vívidas y coloridas.Posee excelente despegue.",,,"Home,Insumos Sublimables,Papel Sublimacion, Atriles y Cinta Termica,Papel Sublimación Premium A4 100 hojas",,,,,,,,"Papel Sublimacion, Atriles y Cinta Termica",192 in stock
https://sublimagix.cl/producto/pad-mouse-18x22/,https://sublimagix.cl/wp-content/uploads/2022/04/padmousesubli18x22.jpg,Pad Mouse Rectangular 18×22,$833,"Padmouse Rectangular de 18×22 cms
Espesor 3mm","Padmouse Rectangular con base de Goma en 3mm de espesor y cubierta en Tela Sintética de alta definición.
18×22 cms.",,"Home,Insumos Sublimables,Textil,Pad Mouse Rectangular 18×22",,,,,,,,Insumos SublimablesTextil,990 in stock
https://sublimagix.cl/producto/326/,https://sublimagix.cl/wp-content/uploads/2022/09/1TAZON.jpg,Prensa Tazon Touch Modelo Simple,$70.000,"Prensa Tazon Modelo Touch
Para Tazones desde 10 a 15 oz","Esta maquina estampará por medio de calor sobre cualquier superficie cilíndrica desde un Diámetro de 7,5 cms hasta 8,5 con una Altura de 10 cms como máximo a Imprimir.,Las Superficies Cilíndricas pueden ser: Metal, Cerámica y Vidrio para Sublimación.,Voltaje: 220V – Potencia: 350W  – Control de Tiempo: 0 a 999 segundos,Rango de Temperatura: 95°C – 210°C  (200°F – 460°F),Área de Impresión:   7,5 a 8,5 Diámetro x 9 cms alto,Medida de la Máquina:  50X38X30cm Peso:6 kgs.",,"Home,Prensas Termicas,Prensa Tazon Touch Modelo Simple",,,,,,,,Prensas Termicas,5 in stock
https://sublimagix.cl/producto/pad-mouse-rectangular-30x40/,https://sublimagix.cl/wp-content/uploads/2022/04/padmousesubli30x40.jpg,Pad Mouse Rectangular 30×40,$1.309,"Padmouse Rectangular de 30×40 cms
Espesor 3mm","Padmouse Rectangular con base de Goma en 3mm de espesor y cubierta en Tela Sintética de alta definición.
30×40 cms.",,"Home,Insumos Sublimables,Textil,Pad Mouse Rectangular 30×40",,,,,,,,Insumos SublimablesTextil,3 in stock
https://sublimagix.cl/producto/pad-mouse-corazon/,https://sublimagix.cl/wp-content/uploads/2022/03/padmousesubli.jpg,Pad Mouse Corazón,$833,"Padmouse en forma de Corazon de 19×22 cms
Espesor 3mm","Padmouse en forma de Corazon con base de Goma en 3mm de espesor y cubierta en Tela Sintética de alta definición.
19×22 cms.",,"Home,Insumos Sublimables,Textil,Pad Mouse Corazón",,,,,,,,Insumos SublimablesTextil,
https://sublimagix.cl/producto/cinta-termica/,https://sublimagix.cl/wp-content/uploads/2022/03/cintasubkimagix.jpg,Cinta Térmica,$2.000 – $3.500,"Cinta Termica Cafe resistente a alta temperatura, no deja marcas.
Disponible en 2 anchos: 5mm y 10mm","Se usa en el pegado del papel impreso por Sublimación en todos los sustratos a trabajar, no deja marcas ni manchas.",N/A,"Home,Insumos Sublimables,Papel Sublimacion, Atriles y Cinta Termica,Cinta Térmica",,,,,,,"10mm ancho x 25 mts largo, 5mm ancho x 25 mts largo","Insumos SublimablesPapel Sublimacion, Atriles y Cinta Termica",
https://sublimagix.cl/producto/prensa-5-en-1-modelo-touch/,https://sublimagix.cl/wp-content/uploads/2022/03/p5eb1.jpg,Prensa 5 en 1 – Modelo Touch,$260.000,"Esta novedosa Prensa Multiple te permitirá estampar en un formato hasta A3 (doble hoja); además con su brazo giratorio y su plato horizontal tendrás mas facilidad de trabajo y mejor calidad de estampado. Estamparás Productos planos (Ropa, Ceramicas, Vidrios…etc), tazones, platos y gorros.","Esta maquina estampará por medio de calor sobre cualquier superficie requerida: Algodón (para Transfer), Metal, Cerámica, Tela Sintética, Vidrio y Madera (para Sublimación); su brazo giratorio permite un trabajo mucho más cómodo y el movimiento del plato como ascensor la hace ideal para productos gruesos: ropa gruesa, vidrios, cerámicas o maderas tratadas.
Se incluye una serie de cabezales térmicos que cubrirán todas sus necesidades de estampado:
• Plana de 30×38
• Tazon Normal
• Plato para 10 cms
• Plato para 15 cms
• Curva para Jockey",,"Home,Prensas Termicas,Prensa 5 en 1 – Modelo Touch",220V,350W – 450W – 1200W,160°C – 190°C,0 a 999 segundos,64X38X48 cms.,25 Kgs,,Prensas Termicas,20 in stock
https://sublimagix.cl/producto/papel-sublimacion-ultra-100-hojas/,https://sublimagix.cl/wp-content/uploads/2022/03/psubli.jpg,Papel Sublimación Ultra 100 hojas,$10.000 Original price was: $10.000.$8.000Current price is: $8.000.,"Uno de los mejores papeles del mundo, con tecnología y materias primas de  Alemana llega el nuevo Papel Ultra, excelente definición y descarga extra de Color, podrá imprimir imágenes ultra vívidas y coloridas.Posee excelente despegue.",,,"Home,Insumos Sublimables,Papel Sublimacion, Atriles y Cinta Termica,Papel Sublimación Ultra 100 hojas",,,,,,,,"Papel Sublimacion, Atriles y Cinta Termica",20 in stock
https://sublimagix.cl/producto/328/,https://sublimagix.cl/wp-content/uploads/2022/09/Prensa_Tazon_Ancha.jpg,Prensa Tazon Modelo Ancho x2,$120.000,"Prensa Tazon Modelo Ancho x2
Estampa hasta 2 tazones 11oz al mismo tiempo
Estampa Schoperos o Botellas a todo su largo","Esta maquina estampará por medio de calor sobre cualquier superficie cilíndrica desde un Diámetro de 7 cms hasta 8,5 con largo de 20 cms como máximo a Imprimir.,Las Superficies Cilíndricas pueden ser: Metal, Cerámica y Vidrio para Sublimación.,Voltaje: 220V – Potencia: 450W  – Control de Tiempo: 0 a 999 segundos,Rango de Temperatura: 95°C – 210°C  (200°F – 460°F),Área de Impresión:   7,5 a 8,5 Diámetro x 20 cms alto,Medida de la Máquina:  55X38X30cm Peso:7 kgs.",,"Home,Prensas Termicas,Prensa Tazon Modelo Ancho x2",,,,,,,,Prensas Termicas,
https://sublimagix.cl/producto/prensa-plana-mini-15x15-con-extras/,https://sublimagix.cl/wp-content/uploads/2022/09/Prensa-15x15-con-Extras.jpg,Prensa Plana Mini 15×15 con Extras,$170.000,"Prensa Plana Carcasera Mini 15X15 + Extras
Incluye Pieza para Jockey (Gorras) y 2 Piezas para Platos (10 y 15 cms)","Esta prensa estampará por medio de calor sobre cualquier superficie lisa de 14×14 requerida: Metal Sublimable, Ceramica Sublimable, Telas como Lycra o Poliester liso (para Sublimación).,Su capacidad de carga y su brazo articulado garantizan un suave manejo y una excelente presión, indispensable para buenas transferencias.,Voltaje: 220V  – Potencia: 400W,Rango de Temperatura: 90 – 2100°C  (200°F – 460°F)  –    Control de Tiempo: 0 a 999 segundos,Medida de la Máquina: 35X38X28 cms.   –   Peso:  15 Kgs",,"Home,Prensas Termicas,Prensa Plana Mini 15×15 con Extras",,,,,,,,Prensas Termicas,8 in stock
